,Año,Trimestre,Provincia,Accesos por cada 100 hogares
622,2015,4,Tierra Del Fuego,66.46
623,2015,4,Tucumán,37.06
624,2015,3,Buenos Aires,57.69
625,2015,3,Capital Federal,118.29
626,2015,3,Catamarca,25.86
627,2015,3,Chaco,27.96
628,2015,3,Chubut,36.81
629,2015,3,Córdoba,57.08
630,2015,3,Corrientes,30.17
631,2015,3,Entre Ríos,43.68
632,2015,3,Formosa,18.84
633,2015,3,Jujuy,21.27
634,2015,3,La Pampa,57.96
635,2015,3,La Rioja,17.15
636,2015,3,Mendoza,32.49
637,2015,3,Misiones,28.31
638,2015,3,Neuquén,54.6
639,2015,3,Río Negro,46.39
640,2015,3,Salta,31.18
641,2015,3,San Juan,27.67
642,2015,3,San Luis,9.71
643,2015,3,Santa Cruz,27.61
644,2015,3,Santa Fe,52.15
645,2015,3,Santiago Del Estero,17.12
646,2015,3,Tierra Del Fuego,74.86
647,2015,3,Tucumán,36.61
648,2015,2,Buenos Aires,56.8
649,2015,2,Capital Federal,116.07
650,2015,2,Catamarca,25.45
651,2015,2,Chaco,27.46
652,2015,2,Chubut,36.58
653,2015,2,Córdoba,55.87
654,2015,2,Corrientes,29.58
655,2015,2,Entre Ríos,42.93
656,2015,2,Formosa,18.36
657,2015,2,Jujuy,20.29
658,2015,2,La Pampa,56.71
659,2015,2,La Rioja,16.88
660,2015,2,Mendoza,32.49
661,2015,2,Misiones,27.35
662,2015,2,Neuquén,53.12
663,2015,2,Río Negro,45.98
664,2015,2,Salta,30.46
665,2015,2,San Juan,27.64
666,2015,2,San Luis,9.71
667,2015,2,Santa Cruz,27.07
668,2015,2,Santa Fe,51.18
669,2015,2,Santiago Del Estero,17.11
670,2015,2,Tierra Del Fuego,74.51
671,2015,2,Tucumán,35.69
672,2015,1,Buenos Aires,56.37
673,2015,1,Capital Federal,114.9
674,2015,1,Catamarca,25.11
675,2015,1,Chaco,26.65
676,2015,1,Chubut,37.61
677,2015,1,Córdoba,54.7
678,2015,1,Corrientes,28.95
